Year,State,Type,Length,Expense,Value,Region
2020,Maryland,Public In-State,4-year,Room/Board,12790,Northeast
2020,Maryland,Public Out-of-State,4-year,Room/Board,12790,Northeast
2018,Massachusetts,Public In-State,4-year,Fees/Tuition,12778,Northeast
2017,New Jersey,Public In-State,4-year,Room/Board,12773,Northeast
2017,New Jersey,Public Out-of-State,4-year,Room/Board,12773,Northeast
2016,Wyoming,Public Out-of-State,4-year,Fees/Tuition,12770,West
2020,Oregon,Public In-State,4-year,Room/Board,12769,West
2020,Oregon,Public Out-of-State,4-year,Room/Board,12769,West
2021,Indiana,Private,4-year,Room/Board,12764,Midwest
2015,California,Public In-State,4-year,Room/Board,12740,West
2015,California,Public Out-of-State,4-year,Room/Board,12740,West
2018,Louisiana,Private,4-year,Room/Board,12737,Southeast
2019,Colorado,Private,4-year,Room/Board,12725,West
2019,Arizona,Private,4-year,Fees/Tuition,12711,Southwest
2021,Utah,Public Out-of-State,2-year,Fees/Tuition,12709,West
2014,Maryland,Private,4-year,Room/Board,12707,Northeast
2020,District of Columbia,Public Out-of-State,4-year,Fees/Tuition,12704,
2019,Hawaii,Private,4-year,Room/Board,12683,West
2019,Georgia,Private,4-year,Room/Board,12681,Southeast
2018,Vermont,Public Out-of-State,2-year,Fees/Tuition,12678,Northeast
2020,Washington,Public In-State,4-year,Room/Board,12678,West
2020,Washington,Public Out-of-State,4-year,Room/Board,12678,West
2020,West Virginia,Private,4-year,Fees/Tuition,12673,Southeast
2016,Arizona,Private,4-year,Fees/Tuition,12667,Southwest
2015,Rhode Island,Private,4-year,Room/Board,12665,Northeast
2016,Pennsylvania,Private,4-year,Room/Board,12658,Northeast
2018,Virginia,Public In-State,4-year,Fees/Tuition,12637,Southeast
2020,North Carolina,Private,4-year,Room/Board,12628,Southeast
2014,Pennsylvania,Public In-State,4-year,Fees/Tuition,12607,Northeast
2018,Georgia,Private,4-year,Room/Board,12600,Southeast
2020,Vermont,Public In-State,4-year,Room/Board,12582,Northeast
2020,Vermont,Public Out-of-State,4-year,Room/Board,12582,Northeast
2018,South Carolina,Public In-State,4-year,Fees/Tuition,12579,Southeast
2019,Rhode Island,Public In-State,4-year,Fees/Tuition,12576,Northeast
2017,Maine,Private,4-year,Room/Board,12560,Northeast
2018,Illinois,Private,4-year,Room/Board,12554,Midwest
2020,Delaware,Private,4-year,Room/Board,12548,Northeast
2020,Rhode Island,Public Out-of-State,2-year,Fees/Tuition,12544,Northeast
2015,New Jersey,Public In-State,4-year,Fees/Tuition,12541,Northeast
2020,Washington,Private,4-year,Room/Board,12541,West
2017,Connecticut,Public Out-of-State,2-year,Fees/Tuition,12528,Northeast
2016,New Jersey,Public In-State,4-year,Room/Board,12523,Northeast
2016,New Jersey,Public Out-of-State,4-year,Room/Board,12523,Northeast
2014,Illinois,Public In-State,4-year,Fees/Tuition,12520,Midwest
2019,West Virginia,Private,4-year,Fees/Tuition,12513,Southeast
2020,South Carolina,Public In-State,4-year,Fees/Tuition,12497,Southeast
2020,Rhode Island,Public In-State,4-year,Room/Board,12487,Northeast
2020,Rhode Island,Public Out-of-State,4-year,Room/Board,12487,Northeast
2020,Ohio,Public In-State,4-year,Room/Board,12486,Midwest
2020,Ohio,Public Out-of-State,4-year,Room/Board,12486,Midwest
2015,Kentucky,Public Out-of-State,2-year,Fees/Tuition,12478,Southeast
2016,Kentucky,Public Out-of-State,2-year,Fees/Tuition,12478,Southeast
2019,Colorado,Public In-State,4-year,Room/Board,12472,West
2019,Colorado,Public Out-of-State,4-year,Room/Board,12472,West
2021,New Hampshire,Public In-State,4-year,Room/Board,12472,Northeast
2021,New Hampshire,Public Out-of-State,4-year,Room/Board,12472,Northeast
2020,Florida,Private,4-year,Room/Board,12469,Southeast
2019,South Dakota,Public Out-of-State,4-year,Fees/Tuition,12465,Midwest
2014,New Hampshire,Private,4-year,Room/Board,12461,Northeast
2020,Utah,Public Out-of-State,2-year,Fees/Tuition,12460,West
2018,Massachusetts,Public In-State,4-year,Room/Board,12451,Northeast
2018,Massachusetts,Public Out-of-State,4-year,Room/Board,12451,Northeast
2015,New Jersey,Private,4-year,Room/Board,12448,Northeast
2017,Connecticut,Public In-State,4-year,Room/Board,12448,Northeast
2017,Connecticut,Public Out-of-State,4-year,Room/Board,12448,Northeast
2017,Hawaii,Private,4-year,Room/Board,12443,West
2019,Arizona,Public In-State,4-year,Room/Board,12439,Southwest
2019,Arizona,Public Out-of-State,4-year,Room/Board,12439,Southwest
2019,Oregon,Private,4-year,Room/Board,12439,West
2018,Michigan,Public In-State,4-year,Fees/Tuition,12435,Midwest
2021,Texas,Private,4-year,Room/Board,12434,Southwest
2019,District of Columbia,Public Out-of-State,4-year,Fees/Tuition,12416,
2021,West Virginia,Private,4-year,Fees/Tuition,12413,Southeast
2018,Hawaii,Private,4-year,Room/Board,12411,West
2014,North Dakota,Private,4-year,Fees/Tuition,12408,Midwest
2014,California,Public In-State,4-year,Room/Board,12380,West
2014,California,Public Out-of-State,4-year,Room/Board,12380,West
2019,Maryland,Public In-State,4-year,Room/Board,12374,Northeast
2019,Maryland,Public Out-of-State,4-year,Room/Board,12374,Northeast
2018,Delaware,Public In-State,4-year,Room/Board,12372,Northeast
2018,Delaware,Public Out-of-State,4-year,Room/Board,12372,Northeast
2017,Louisiana,Private,4-year,Room/Board,12369,Southeast
2018,Connecticut,Public In-State,4-year,Fees/Tuition,12355,Northeast
2018,Oregon,Public In-State,4-year,Room/Board,12347,West
2018,Oregon,Public Out-of-State,4-year,Room/Board,12347,West
2016,Vermont,Private,4-year,Room/Board,12345,Northeast
2018,West Virginia,Private,4-year,Fees/Tuition,12341,Southeast
2016,Hawaii,Private,4-year,Room/Board,12333,West
2017,Massachusetts,Public In-State,4-year,Fees/Tuition,12331,Northeast
2013,North Dakota,Private,4-year,Fees/Tuition,12318,Midwest
2016,Maine,Private,4-year,Room/Board,12301,Northeast
2019,Oregon,Public In-State,4-year,Room/Board,12299,West
