Year,State,Type,Length,Expense,Value,Region
2021,Maine,Public Out-of-State,4-year,Room/Board,10300,Northeast
2020,South Carolina,Public In-State,4-year,Room/Board,10293,Southeast
2020,South Carolina,Public Out-of-State,4-year,Room/Board,10293,Southeast
2013,Minnesota,Public In-State,4-year,Fees/Tuition,10291,Midwest
2019,Oregon,Public In-State,4-year,Fees/Tuition,10286,West
2016,Georgia,Public In-State,4-year,Room/Board,10281,Southeast
2016,Georgia,Public Out-of-State,4-year,Room/Board,10281,Southeast
2016,Nevada,Public In-State,4-year,Room/Board,10272,West
2016,Nevada,Public Out-of-State,4-year,Room/Board,10272,West
2013,New Hampshire,Public In-State,4-year,Room/Board,10270,Northeast
2013,New Hampshire,Public Out-of-State,4-year,Room/Board,10270,Northeast
2014,Washington,Private,4-year,Room/Board,10266,West
2019,Maine,Public In-State,4-year,Room/Board,10265,Northeast
2019,Maine,Public Out-of-State,4-year,Room/Board,10265,Northeast
2018,Nebraska,Public In-State,4-year,Room/Board,10260,Midwest
2018,Nebraska,Public Out-of-State,4-year,Room/Board,10260,Midwest
2018,Indiana,Public In-State,4-year,Room/Board,10259,Midwest
2018,Indiana,Public Out-of-State,4-year,Room/Board,10259,Midwest
2014,North Carolina,Private,4-year,Room/Board,10258,Southeast
2013,Oregon,Public In-State,4-year,Room/Board,10232,West
2013,Oregon,Public Out-of-State,4-year,Room/Board,10232,West
2018,Michigan,Public In-State,4-year,Room/Board,10230,Midwest
2018,Michigan,Public Out-of-State,4-year,Room/Board,10230,Midwest
2018,Tennessee,Private,4-year,Room/Board,10223,Southeast
2015,Florida,Public In-State,4-year,Room/Board,10221,Southeast
2015,Florida,Public Out-of-State,4-year,Room/Board,10221,Southeast
2016,Virginia,Public In-State,4-year,Room/Board,10220,Southeast
2016,Virginia,Public Out-of-State,4-year,Room/Board,10220,Southeast
2015,Ohio,Private,4-year,Room/Board,10215,Midwest
2020,South Carolina,Public Out-of-State,2-year,Fees/Tuition,10206,Southeast
2014,South Dakota,Public Out-of-State,4-year,Fees/Tuition,10201,Midwest
2020,Tennessee,Public In-State,4-year,Room/Board,10196,Southeast
2020,Tennessee,Public Out-of-State,4-year,Room/Board,10196,Southeast
2015,Texas,Private,4-year,Room/Board,10192,Southwest
2018,West Virginia,Public In-State,4-year,Room/Board,10184,Southeast
2018,West Virginia,Public Out-of-State,4-year,Room/Board,10184,Southeast
2018,Wisconsin,Private,4-year,Room/Board,10176,Midwest
2020,Alabama,Public In-State,4-year,Room/Board,10175,Southeast
2020,Alabama,Public Out-of-State,4-year,Room/Board,10175,Southeast
2014,Pennsylvania,Public In-State,4-year,Room/Board,10164,Northeast
2014,Pennsylvania,Public Out-of-State,4-year,Room/Board,10164,Northeast
2020,Tennessee,Public In-State,4-year,Fees/Tuition,10164,Southeast
2013,Washington,Private,4-year,Room/Board,10161,West
2017,Alaska,Public In-State,4-year,Room/Board,10160,West
2017,Alaska,Public Out-of-State,4-year,Room/Board,10160,West
2021,Iowa,Private,4-year,Room/Board,10158,Midwest
2019,Iowa,Public In-State,4-year,Room/Board,10156,Midwest
2019,Iowa,Public Out-of-State,4-year,Room/Board,10156,Midwest
2020,Wyoming,Public In-State,4-year,Room/Board,10154,West
2020,Wyoming,Public Out-of-State,4-year,Room/Board,10154,West
2013,Ohio,Public In-State,4-year,Room/Board,10152,Midwest
2013,Ohio,Public Out-of-State,4-year,Room/Board,10152,Midwest
2017,Colorado,Public Out-of-State,2-year,Fees/Tuition,10152,West
2019,Michigan,Private,4-year,Room/Board,10139,Midwest
2019,Alabama,Public In-State,4-year,Fees/Tuition,10138,Southeast
2019,North Carolina,Public In-State,4-year,Room/Board,10129,Southeast
2019,North Carolina,Public Out-of-State,4-year,Room/Board,10129,Southeast
2014,Connecticut,Public In-State,4-year,Fees/Tuition,10128,Northeast
2017,Indiana,Public In-State,4-year,Room/Board,10124,Midwest
2017,Indiana,Public Out-of-State,4-year,Room/Board,10124,Midwest
2015,Nevada,Public In-State,4-year,Room/Board,10122,West
2015,Nevada,Public Out-of-State,4-year,Room/Board,10122,West
2014,Vermont,Public In-State,4-year,Room/Board,10121,Northeast
2014,Vermont,Public Out-of-State,4-year,Room/Board,10121,Northeast
2020,Texas,Public In-State,4-year,Room/Board,10113,Southwest
2020,Texas,Public Out-of-State,4-year,Room/Board,10113,Southwest
2020,Hawaii,Public In-State,4-year,Fees/Tuition,10109,West
2020,Maine,Public In-State,4-year,Fees/Tuition,10103,Northeast
2019,Texas,Public In-State,4-year,Room/Board,10101,Southwest
2019,Texas,Public Out-of-State,4-year,Room/Board,10101,Southwest
2020,Wyoming,Public Out-of-State,2-year,Fees/Tuition,10101,West
2019,South Carolina,Public In-State,4-year,Room/Board,10100,Southeast
2019,South Carolina,Public Out-of-State,4-year,Room/Board,10100,Southeast
2021,Missouri,Public In-State,4-year,Room/Board,10084,Midwest
2021,Missouri,Public Out-of-State,4-year,Room/Board,10084,Midwest
2021,Alabama,Public Out-of-State,2-year,Fees/Tuition,10082,Southeast
2015,Indiana,Private,4-year,Room/Board,10079,Midwest
2019,Alabama,Private,4-year,Room/Board,10076,Southeast
2013,Washington,Public In-State,4-year,Room/Board,10069,West
2013,Washington,Public Out-of-State,4-year,Room/Board,10069,West
2019,New Mexico,Private,4-year,Room/Board,10069,Southwest
2019,Ohio,Public In-State,4-year,Fees/Tuition,10068,Midwest
2015,Arizona,Public In-State,4-year,Room/Board,10064,Southwest
2015,Arizona,Public Out-of-State,4-year,Room/Board,10064,Southwest
2017,Arizona,Public In-State,4-year,Fees/Tuition,10057,Southwest
2019,Mississippi,Public In-State,4-year,Room/Board,10051,Southeast
2019,Mississippi,Public Out-of-State,4-year,Room/Board,10051,Southeast
2013,Maryland,Public In-State,4-year,Room/Board,10043,Northeast
2013,Maryland,Public Out-of-State,4-year,Room/Board,10043,Northeast
2017,Wyoming,Public In-State,4-year,Room/Board,10043,West
2017,Wyoming,Public Out-of-State,4-year,Room/Board,10043,West
2018,Wyoming,Public In-State,4-year,Room/Board,10043,West
2018,Wyoming,Public Out-of-State,4-year,Room/Board,10043,West
2019,Wyoming,Public In-State,4-year,Room/Board,10043,West
2019,Wyoming,Public Out-of-State,4-year,Room/Board,10043,West
2018,Ohio,Public In-State,4-year,Fees/Tuition,10026,Midwest
2021,Minnesota,Public In-State,4-year,Room/Board,10021,Midwest
2021,Minnesota,Public Out-of-State,4-year,Room/Board,10021,Midwest
2016,Florida,Public In-State,4-year,Room/Board,10019,Southeast
2016,Florida,Public Out-of-State,4-year,Room/Board,10019,Southeast
2017,Kentucky,Public In-State,4-year,Fees/Tuition,10014,Southeast
2017,Minnesota,Private,4-year,Room/Board,10014,Midwest
2020,Kansas,Public In-State,4-year,Room/Board,10013,Midwest
2020,Kansas,Public Out-of-State,4-year,Room/Board,10013,Midwest
2013,Utah,Public Out-of-State,2-year,Fees/Tuition,10012,West
2018,Missouri,Private,4-year,Room/Board,10008,Midwest
2018,Massachusetts,Public Out-of-State,2-year,Fees/Tuition,10006,Northeast
2021,Kansas,Public In-State,4-year,Room/Board,10001,Midwest
2021,Kansas,Public Out-of-State,4-year,Room/Board,10001,Midwest
2018,Delaware,Public In-State,4-year,Fees/Tuition,9999,Northeast
2021,Nebraska,Private,4-year,Room/Board,9999,Midwest
2019,Maryland,Public Out-of-State,2-year,Fees/Tuition,9990,Northeast
2018,North Carolina,Public In-State,4-year,Room/Board,9989,Southeast
2018,North Carolina,Public Out-of-State,4-year,Room/Board,9989,Southeast
2020,West Virginia,Public Out-of-State,2-year,Fees/Tuition,9976,Southeast
2013,Florida,Private,4-year,Room/Board,9968,Southeast
2016,Indiana,Public In-State,4-year,Room/Board,9967,Midwest
2016,Indiana,Public Out-of-State,4-year,Room/Board,9967,Midwest
2019,Iowa,Public In-State,4-year,Fees/Tuition,9966,Midwest
2020,South Carolina,Private,4-year,Room/Board,9965,Southeast
2019,Hawaii,Public In-State,4-year,Fees/Tuition,9952,West
2014,Florida,Public In-State,4-year,Room/Board,9949,Southeast
2014,Florida,Public Out-of-State,4-year,Room/Board,9949,Southeast
2016,Massachusetts,Public Out-of-State,2-year,Fees/Tuition,9944,Northeast
2017,Tennessee,Private,4-year,Room/Board,9944,Southeast
2017,Michigan,Public In-State,4-year,Room/Board,9942,Midwest
2017,Michigan,Public Out-of-State,4-year,Room/Board,9942,Midwest
2014,Ohio,Private,4-year,Room/Board,9939,Midwest
2021,Montana,Public In-State,4-year,Room/Board,9938,West
2021,Montana,Public Out-of-State,4-year,Room/Board,9938,West
2019,Maine,Public In-State,4-year,Fees/Tuition,9930,Northeast
2014,Indiana,Private,4-year,Room/Board,9929,Midwest
2020,Louisiana,Public In-State,4-year,Room/Board,9927,Southeast
2020,Louisiana,Public Out-of-State,4-year,Room/Board,9927,Southeast
2019,Tennessee,Public In-State,4-year,Room/Board,9924,Southeast
2019,Tennessee,Public Out-of-State,4-year,Room/Board,9924,Southeast
2021,Oklahoma,Private,4-year,Room/Board,9918,Southwest
2014,Texas,Private,4-year,Room/Board,9910,Southwest
2014,Arizona,Public In-State,4-year,Fees/Tuition,9906,Southwest
2020,Ohio,Public In-State,4-year,Fees/Tuition,9902,Midwest
2016,Virginia,Private,4-year,Room/Board,9901,Southeast
2021,West Virginia,Private,4-year,Room/Board,9890,Southeast
2015,Virginia,Public In-State,4-year,Room/Board,9884,Southeast
2015,Virginia,Public Out-of-State,4-year,Room/Board,9884,Southeast
2016,Arizona,Public In-State,4-year,Fees/Tuition,9884,Southwest
2014,Arizona,Public In-State,4-year,Room/Board,9877,Southwest
2014,Arizona,Public Out-of-State,4-year,Room/Board,9877,Southwest
2019,South Carolina,Public Out-of-State,2-year,Fees/Tuition,9874,Southeast
2015,Illinois,Public Out-of-State,2-year,Fees/Tuition,9871,Midwest
2013,Virginia,Public In-State,4-year,Fees/Tuition,9866,Southeast
2016,New Mexico,Private,4-year,Room/Board,9864,Southwest
2020,Minnesota,Public In-State,4-year,Room/Board,9863,Midwest
2020,Minnesota,Public Out-of-State,4-year,Room/Board,9863,Midwest
2013,North Carolina,Private,4-year,Room/Board,9858,Southeast
2017,West Virginia,Public In-State,4-year,Room/Board,9855,Southeast
2017,West Virginia,Public Out-of-State,4-year,Room/Board,9855,Southeast
2017,Maine,Public In-State,4-year,Room/Board,9854,Northeast
2017,Maine,Public Out-of-State,4-year,Room/Board,9854,Northeast
2018,Nevada,Public Out-of-State,2-year,Fees/Tuition,9853,West
2019,Louisiana,Public In-State,4-year,Room/Board,9847,Southeast
2019,Louisiana,Public Out-of-State,4-year,Room/Board,9847,Southeast
2018,Alabama,Public In-State,4-year,Room/Board,9846,Southeast
2018,Alabama,Public Out-of-State,4-year,Room/Board,9846,Southeast
2020,Oklahoma,Private,4-year,Room/Board,9846,Southwest
2019,Alabama,Public In-State,4-year,Room/Board,9845,Southeast
2019,Alabama,Public Out-of-State,4-year,Room/Board,9845,Southeast
2021,Montana,Private,4-year,Room/Board,9844,West
2018,Alabama,Private,4-year,Room/Board,9843,Southeast
2017,Wisconsin,Private,4-year,Room/Board,9841,Midwest
2017,New Mexico,Private,4-year,Room/Board,9838,Southwest
2018,Maine,Public In-State,4-year,Room/Board,9836,Northeast
2018,Maine,Public Out-of-State,4-year,Room/Board,9836,Northeast
2019,West Virginia,Public Out-of-State,2-year,Fees/Tuition,9834,Southeast
2020,Iowa,Private,4-year,Room/Board,9831,Midwest
2017,Ohio,Public In-State,4-year,Fees/Tuition,9827,Midwest
2018,Alabama,Public In-State,4-year,Fees/Tuition,9827,Southeast
2016,Alaska,Public In-State,4-year,Room/Board,9820,West
2016,Alaska,Public Out-of-State,4-year,Room/Board,9820,West
2021,Wyoming,Public Out-of-State,2-year,Fees/Tuition,9820,West
2020,Montana,Private,4-year,Room/Board,9817,West
2021,Kansas,Private,4-year,Room/Board,9816,Midwest
2014,Hawaii,Public In-State,4-year,Room/Board,9812,West
2014,Hawaii,Public Out-of-State,4-year,Room/Board,9812,West
2014,New Mexico,Private,4-year,Room/Board,9811,Southwest
2014,Indiana,Public In-State,4-year,Room/Board,9809,Midwest
2014,Indiana,Public Out-of-State,4-year,Room/Board,9809,Midwest
2021,Wyoming,Public In-State,4-year,Room/Board,9799,West
2021,Wyoming,Public Out-of-State,4-year,Room/Board,9799,West
2020,Nebraska,Private,4-year,Room/Board,9797,Midwest
2021,Arkansas,Public In-State,4-year,Room/Board,9794,Southeast
2021,Arkansas,Public Out-of-State,4-year,Room/Board,9794,Southeast
2013,Florida,Public In-State,4-year,Room/Board,9793,Southeast
2013,Florida,Public Out-of-State,4-year,Room/Board,9793,Southeast
2019,Tennessee,Public In-State,4-year,Fees/Tuition,9789,Southeast
2017,Massachusetts,Public Out-of-State,2-year,Fees/Tuition,9785,Northeast
2021,West Virginia,Public Out-of-State,2-year,Fees/Tuition,9781,Southeast
2015,Arizona,Public In-State,4-year,Fees/Tuition,9775,Southwest
2020,West Virginia,Private,4-year,Room/Board,9773,Southeast
2015,Georgia,Public In-State,4-year,Room/Board,9770,Southeast
2015,Georgia,Public Out-of-State,4-year,Room/Board,9770,Southeast
2013,Vermont,Public In-State,4-year,Room/Board,9766,Northeast
2013,Vermont,Public Out-of-State,4-year,Room/Board,9766,Northeast
2020,Montana,Public In-State,4-year,Room/Board,9765,West
2020,Montana,Public Out-of-State,4-year,Room/Board,9765,West
2016,Wyoming,Public In-State,4-year,Room/Board,9764,West
2016,Wyoming,Public Out-of-State,4-year,Room/Board,9764,West
2015,Indiana,Public In-State,4-year,Room/Board,9760,Midwest
2015,Indiana,Public Out-of-State,4-year,Room/Board,9760,Midwest
2016,Ohio,Public In-State,4-year,Fees/Tuition,9757,Midwest
2020,Arizona,Private,4-year,Room/Board,9757,Southwest
2014,Maine,Public In-State,4-year,Room/Board,9755,Northeast
2014,Maine,Public Out-of-State,4-year,Room/Board,9755,Northeast
2018,New Mexico,Private,4-year,Room/Board,9755,Southwest
2019,Oklahoma,Private,4-year,Room/Board,9754,Southwest
2021,Arizona,Private,4-year,Room/Board,9754,Southwest
2016,Minnesota,Private,4-year,Room/Board,9753,Midwest
2015,Maine,Public In-State,4-year,Room/Board,9748,Northeast
2015,Maine,Public Out-of-State,4-year,Room/Board,9748,Northeast
2015,Massachusetts,Public Out-of-State,2-year,Fees/Tuition,9742,Northeast
2020,Missouri,Public In-State,4-year,Room/Board,9742,Midwest
2020,Missouri,Public Out-of-State,4-year,Room/Board,9742,Midwest
2017,Oregon,Public In-State,4-year,Fees/Tuition,9739,West
2018,Mississippi,Public In-State,4-year,Room/Board,9739,Southeast
2018,Mississippi,Public Out-of-State,4-year,Room/Board,9739,Southeast
2017,Missouri,Private,4-year,Room/Board,9731,Midwest
2017,South Carolina,Public Out-of-State,2-year,Fees/Tuition,9730,Southeast
2018,Missouri,Public In-State,4-year,Room/Board,9719,Midwest
2018,Missouri,Public Out-of-State,4-year,Room/Board,9719,Midwest
2021,New Mexico,Public In-State,4-year,Room/Board,9719,Southwest
2021,New Mexico,Public Out-of-State,4-year,Room/Board,9719,Southwest
2020,Maryland,Public In-State,4-year,Fees/Tuition,9714,Northeast
2017,Hawaii,Public In-State,4-year,Fees/Tuition,9712,West
2018,Hawaii,Public In-State,4-year,Fees/Tuition,9709,West
2019,Arizona,Private,4-year,Room/Board,9708,Southwest
2020,Alabama,Public Out-of-State,2-year,Fees/Tuition,9707,Southeast
2018,Michigan,Private,4-year,Room/Board,9700,Midwest
2013,Arizona,Public In-State,4-year,Fees/Tuition,9694,Southwest
2013,Texas,Private,4-year,Room/Board,9686,Southwest
2015,New Mexico,Private,4-year,Room/Board,9685,Southwest
2019,Kansas,Public In-State,4-year,Room/Board,9678,Midwest
2019,Kansas,Public Out-of-State,4-year,Room/Board,9678,Midwest
2016,Michigan,Public In-State,4-year,Room/Board,9673,Midwest
2016,Michigan,Public Out-of-State,4-year,Room/Board,9673,Midwest
2018,Louisiana,Public In-State,4-year,Room/Board,9671,Southeast
2018,Louisiana,Public Out-of-State,4-year,Room/Board,9671,Southeast
2015,Virginia,Private,4-year,Room/Board,9666,Southeast
2018,Maine,Public In-State,4-year,Fees/Tuition,9664,Northeast
2018,Iowa,Public In-State,4-year,Room/Board,9660,Midwest
2018,Iowa,Public Out-of-State,4-year,Room/Board,9660,Midwest
2017,Kentucky,Public In-State,4-year,Room/Board,9659,Southeast
2017,Kentucky,Public Out-of-State,4-year,Room/Board,9659,Southeast
2013,South Dakota,Public Out-of-State,4-year,Fees/Tuition,9654,Midwest
2017,Nebraska,Public In-State,4-year,Room/Board,9647,Midwest
2017,Nebraska,Public Out-of-State,4-year,Room/Board,9647,Midwest
2019,Montana,Public In-State,4-year,Room/Board,9632,West
2019,Montana,Public Out-of-State,4-year,Room/Board,9632,West
2020,Kansas,Private,4-year,Room/Board,9632,Midwest
2015,Ohio,Public In-State,4-year,Fees/Tuition,9631,Midwest
2018,Texas,Public In-State,4-year,Room/Board,9626,Southwest
2018,Texas,Public Out-of-State,4-year,Room/Board,9626,Southwest
2013,Ohio,Private,4-year,Room/Board,9612,Midwest
2019,Alabama,Public Out-of-State,2-year,Fees/Tuition,9612,Southeast
2016,Wisconsin,Private,4-year,Room/Board,9586,Midwest
2017,Alabama,Public In-State,4-year,Room/Board,9586,Southeast
2017,Alabama,Public Out-of-State,4-year,Room/Board,9586,Southeast
2019,Arkansas,Public In-State,4-year,Room/Board,9586,Southeast
2019,Arkansas,Public Out-of-State,4-year,Room/Board,9586,Southeast
2016,Maine,Public In-State,4-year,Room/Board,9581,Northeast
2016,Maine,Public Out-of-State,4-year,Room/Board,9581,Northeast
2017,Delaware,Public In-State,4-year,Fees/Tuition,9578,Northeast
2016,Arizona,Private,4-year,Room/Board,9577,Southwest
2013,Indiana,Private,4-year,Room/Board,9574,Midwest
2018,Tennessee,Public In-State,4-year,Fees/Tuition,9574,Southeast
2020,Louisiana,Public In-State,4-year,Fees/Tuition,9571,Southeast
2016,Tennessee,Private,4-year,Room/Board,9567,Southeast
2019,Missouri,Public In-State,4-year,Room/Board,9567,Midwest
2019,Missouri,Public Out-of-State,4-year,Room/Board,9567,Midwest
2014,Massachusetts,Public Out-of-State,2-year,Fees/Tuition,9561,Northeast
2015,Minnesota,Private,4-year,Room/Board,9561,Midwest
2014,Alaska,Public In-State,4-year,Room/Board,9556,West
2014,Alaska,Public Out-of-State,4-year,Room/Board,9556,West
2017,Nevada,Public Out-of-State,2-year,Fees/Tuition,9555,West
2018,South Carolina,Public In-State,4-year,Room/Board,9553,Southeast
2018,South Carolina,Public Out-of-State,4-year,Room/Board,9553,Southeast
2019,South Carolina,Private,4-year,Room/Board,9553,Southeast
2019,Nebraska,Private,4-year,Room/Board,9551,Midwest
2014,Virginia,Private,4-year,Room/Board,9548,Southeast
2019,Iowa,Private,4-year,Room/Board,9543,Midwest
2018,Colorado,Public In-State,4-year,Fees/Tuition,9540,West
2020,Arkansas,Public In-State,4-year,Room/Board,9535,Southeast
2020,Arkansas,Public Out-of-State,4-year,Room/Board,9535,Southeast
2016,West Virginia,Public In-State,4-year,Room/Board,9527,Southeast
2016,West Virginia,Public Out-of-State,4-year,Room/Board,9527,Southeast
2019,Maryland,Public In-State,4-year,Fees/Tuition,9521,Northeast
2013,Connecticut,Public In-State,4-year,Fees/Tuition,9517,Northeast
2013,Massachusetts,Public Out-of-State,2-year,Fees/Tuition,9516,Northeast
2017,Louisiana,Public In-State,4-year,Room/Board,9506,Southeast
2017,Louisiana,Public Out-of-State,4-year,Room/Board,9506,Southeast
2016,Kentucky,Public In-State,4-year,Fees/Tuition,9490,Southeast
2018,South Carolina,Private,4-year,Room/Board,9490,Southeast
2013,Indiana,Public In-State,4-year,Room/Board,9489,Midwest
2013,Indiana,Public Out-of-State,4-year,Room/Board,9489,Midwest
2015,Wyoming,Public In-State,4-year,Room/Board,9489,West
2015,Wyoming,Public Out-of-State,4-year,Room/Board,9489,West
2017,North Dakota,Public Out-of-State,2-year,Fees/Tuition,9484,Midwest
2020,Oklahoma,Public Out-of-State,2-year,Fees/Tuition,9484,Southwest
2018,South Carolina,Public Out-of-State,2-year,Fees/Tuition,9480,Southeast
2019,Minnesota,Public In-State,4-year,Room/Board,9479,Midwest
2019,Minnesota,Public Out-of-State,4-year,Room/Board,9479,Midwest
2018,Maryland,Public Out-of-State,2-year,Fees/Tuition,9467,Northeast
2017,Alabama,Public In-State,4-year,Fees/Tuition,9466,Southeast
2017,Missouri,Public In-State,4-year,Room/Board,9463,Midwest
2017,Missouri,Public Out-of-State,4-year,Room/Board,9463,Midwest
2013,Pennsylvania,Public In-State,4-year,Room/Board,9453,Northeast
2013,Pennsylvania,Public Out-of-State,4-year,Room/Board,9453,Northeast
2018,Arizona,Private,4-year,Room/Board,9451,Southwest
2016,Nevada,Public Out-of-State,2-year,Fees/Tuition,9450,West
2014,Georgia,Public In-State,4-year,Room/Board,9448,Southeast
2014,Georgia,Public Out-of-State,4-year,Room/Board,9448,Southeast
2014,Ohio,Public In-State,4-year,Fees/Tuition,9443,Midwest
2017,Michigan,Private,4-year,Room/Board,9440,Midwest
2019,Kentucky,Private,4-year,Room/Board,9433,Southeast
2018,North Dakota,Public Out-of-State,2-year,Fees/Tuition,9429,Midwest
2017,Texas,Public In-State,4-year,Room/Board,9424,Southwest
2017,Texas,Public Out-of-State,4-year,Room/Board,9424,Southwest
2016,North Carolina,Public In-State,4-year,Room/Board,9421,Southeast
2016,North Carolina,Public Out-of-State,4-year,Room/Board,9421,Southeast
2017,Arizona,Private,4-year,Room/Board,9419,Southwest
2014,Illinois,Public Out-of-State,2-year,Fees/Tuition,9417,Midwest
2017,North Carolina,Public In-State,4-year,Room/Board,9417,Southeast
2017,North Carolina,Public Out-of-State,4-year,Room/Board,9417,Southeast
2018,West Virginia,Public Out-of-State,2-year,Fees/Tuition,9410,Southeast
2016,Oregon,Public In-State,4-year,Fees/Tuition,9406,West
2019,Colorado,Public In-State,4-year,Fees/Tuition,9394,West
2019,Oklahoma,Public Out-of-State,2-year,Fees/Tuition,9393,Southwest
2018,Iowa,Private,4-year,Room/Board,9389,Midwest
2013,Maine,Public In-State,4-year,Room/Board,9381,Northeast
2013,Maine,Public Out-of-State,4-year,Room/Board,9381,Northeast
2019,West Virginia,Private,4-year,Room/Board,9379,Southeast
2018,Tennessee,Public In-State,4-year,Room/Board,9376,Southeast
2018,Tennessee,Public Out-of-State,4-year,Room/Board,9376,Southeast
2020,Iowa,Public In-State,4-year,Fees/Tuition,9373,Midwest
2017,Mississippi,Public In-State,4-year,Room/Board,9372,Southeast
2017,Mississippi,Public Out-of-State,4-year,Room/Board,9372,Southeast
2013,Arizona,Public In-State,4-year,Room/Board,9370,Southwest
2013,Arizona,Public Out-of-State,4-year,Room/Board,9370,Southwest
2014,Maine,Public In-State,4-year,Fees/Tuition,9368,Northeast
2014,Florida,Public Out-of-State,2-year,Fees/Tuition,9362,Southeast
2016,South Carolina,Public In-State,4-year,Room/Board,9359,Southeast
2016,South Carolina,Public Out-of-State,4-year,Room/Board,9359,Southeast
2019,Louisiana,Public In-State,4-year,Fees/Tuition,9358,Southeast
2017,South Carolina,Public In-State,4-year,Room/Board,9355,Southeast
2017,South Carolina,Public Out-of-State,4-year,Room/Board,9355,Southeast
2019,New Mexico,Public In-State,4-year,Room/Board,9354,Southwest
2019,New Mexico,Public Out-of-State,4-year,Room/Board,9354,Southwest
2020,Kentucky,Private,4-year,Room/Board,9354,Southeast
2017,Colorado,Public In-State,4-year,Fees/Tuition,9352,West
2013,Nevada,Public Out-of-State,2-year,Fees/Tuition,9345,West
2014,Nevada,Public Out-of-State,2-year,Fees/Tuition,9345,West
2015,Nevada,Public Out-of-State,2-year,Fees/Tuition,9345,West
2015,Michigan,Public In-State,4-year,Room/Board,9336,Midwest
2015,Michigan,Public Out-of-State,4-year,Room/Board,9336,Midwest
2016,Alabama,Public In-State,4-year,Room/Board,9330,Southeast
2016,Alabama,Public Out-of-State,4-year,Room/Board,9330,Southeast
2015,Wisconsin,Private,4-year,Room/Board,9322,Midwest
2021,Oklahoma,Public Out-of-State,2-year,Fees/Tuition,9320,Southwest
2014,Alaska,Private,4-year,Room/Board,9319,West
2014,Virginia,Public In-State,4-year,Room/Board,9316,Southeast
2014,Virginia,Public Out-of-State,4-year,Room/Board,9316,Southeast
2016,Nebraska,Public In-State,4-year,Room/Board,9315,Midwest
2016,Nebraska,Public Out-of-State,4-year,Room/Board,9315,Midwest
2016,Texas,Public In-State,4-year,Room/Board,9304,Southwest
2016,Texas,Public Out-of-State,4-year,Room/Board,9304,Southwest
2018,Oklahoma,Private,4-year,Room/Board,9302,Southwest
2013,Ohio,Public In-State,4-year,Fees/Tuition,9301,Midwest
2013,Maine,Public In-State,4-year,Fees/Tuition,9295,Northeast
2019,North Dakota,Public Out-of-State,2-year,Fees/Tuition,9293,Midwest
2018,Arkansas,Public In-State,4-year,Room/Board,9292,Southeast
2018,Arkansas,Public Out-of-State,4-year,Room/Board,9292,Southeast
2015,Tennessee,Private,4-year,Room/Board,9290,Southeast
2016,Alabama,Private,4-year,Room/Board,9289,Southeast
2018,Maryland,Public In-State,4-year,Fees/Tuition,9289,Northeast
2017,Alabama,Private,4-year,Room/Board,9288,Southeast
2017,Tennessee,Public In-State,4-year,Fees/Tuition,9287,Southeast
2021,Kentucky,Private,4-year,Room/Board,9279,Southeast
2016,Missouri,Private,4-year,Room/Board,9276,Midwest
2020,Indiana,Public In-State,4-year,Fees/Tuition,9268,Midwest
2016,Hawaii,Public In-State,4-year,Fees/Tuition,9263,West
2014,Colorado,Public Out-of-State,2-year,Fees/Tuition,9261,West
2016,Mississippi,Public In-State,4-year,Room/Board,9259,Southeast
2016,Mississippi,Public Out-of-State,4-year,Room/Board,9259,Southeast
2013,Hawaii,Public In-State,4-year,Room/Board,9256,West
2013,Hawaii,Public Out-of-State,4-year,Room/Board,9256,West
2017,Iowa,Public In-State,4-year,Room/Board,9243,Midwest
2017,Iowa,Public Out-of-State,4-year,Room/Board,9243,Midwest
2017,West Virginia,Public Out-of-State,2-year,Fees/Tuition,9241,Southeast
2016,Missouri,Public In-State,4-year,Room/Board,9240,Midwest
2016,Missouri,Public Out-of-State,4-year,Room/Board,9240,Midwest
2018,Kentucky,Private,4-year,Room/Board,9229,Southeast
2020,New York,Public Out-of-State,2-year,Fees/Tuition,9228,Northeast
2018,Kansas,Public In-State,4-year,Room/Board,9227,Midwest
2018,Kansas,Public Out-of-State,4-year,Room/Board,9227,Midwest
2017,South Carolina,Private,4-year,Room/Board,9225,Southeast
2019,Indiana,Public In-State,4-year,Fees/Tuition,9225,Midwest
2015,West Virginia,Public In-State,4-year,Room/Board,9223,Southeast
2015,West Virginia,Public Out-of-State,4-year,Room/Board,9223,Southeast
2017,Maine,Public In-State,4-year,Fees/Tuition,9219,Northeast
2021,Oklahoma,Public In-State,4-year,Room/Board,9219,Southwest
2021,Oklahoma,Public Out-of-State,4-year,Room/Board,9219,Southwest
2016,Kentucky,Public In-State,4-year,Room/Board,9212,Southeast
2016,Kentucky,Public Out-of-State,4-year,Room/Board,9212,Southeast
2019,New York,Public Out-of-State,2-year,Fees/Tuition,9197,Northeast
2018,Minnesota,Public In-State,4-year,Room/Board,9194,Midwest
2018,Minnesota,Public Out-of-State,4-year,Room/Board,9194,Midwest
2014,Wyoming,Public In-State,4-year,Room/Board,9193,West
2014,Wyoming,Public Out-of-State,4-year,Room/Board,9193,West
2015,Kentucky,Public In-State,4-year,Fees/Tuition,9189,Southeast
2016,Maine,Public In-State,4-year,Fees/Tuition,9186,Northeast
2016,Alabama,Public In-State,4-year,Fees/Tuition,9179,Southeast
2016,Montana,Public Out-of-State,2-year,Fees/Tuition,9177,West
